domain,domain_name,active_count,active_frac
0,boston-seaport,9,0.5625
0,boston-seaport,4,0.25
0,boston-seaport,4,0.25
0,boston-seaport,9,0.5625
0,boston-seaport,3,0.1875
0,boston-seaport,6,0.375
0,boston-seaport,8,0.5
0,boston-seaport,3,0.1875
0,boston-seaport,8,0.5
0,boston-seaport,6,0.375
0,boston-seaport,9,0.5625
0,boston-seaport,5,0.3125
0,boston-seaport,8,0.5
0,boston-seaport,5,0.3125
0,boston-seaport,4,0.25
0,boston-seaport,9,0.5625
0,boston-seaport,5,0.3125
0,boston-seaport,6,0.375
0,boston-seaport,8,0.5
0,boston-seaport,8,0.5
0,boston-seaport,4,0.25
0,boston-seaport,7,0.4375
0,boston-seaport,5,0.3125
0,boston-seaport,9,0.5625
0,boston-seaport,9,0.5625
0,boston-seaport,8,0.5
0,boston-seaport,4,0.25
0,boston-seaport,8,0.5
0,boston-seaport,7,0.4375
0,boston-seaport,6,0.375
0,boston-seaport,5,0.3125
0,boston-seaport,8,0.5
0,boston-seaport,10,0.625
0,boston-seaport,7,0.4375
0,boston-seaport,5,0.3125
0,boston-seaport,4,0.25
0,boston-seaport,6,0.375
0,boston-seaport,9,0.5625
0,boston-seaport,9,0.5625
0,boston-seaport,4,0.25
0,boston-seaport,5,0.3125
0,boston-seaport,5,0.3125
0,boston-seaport,4,0.25
0,boston-seaport,8,0.5
0,boston-seaport,6,0.375
0,boston-seaport,10,0.625
0,boston-seaport,6,0.375
0,boston-seaport,4,0.25
0,boston-seaport,5,0.3125
0,boston-seaport,6,0.375
0,boston-seaport,8,0.5
0,boston-seaport,10,0.625
0,boston-seaport,9,0.5625
0,boston-seaport,8,0.5
0,boston-seaport,6,0.375
0,boston-seaport,4,0.25
0,boston-seaport,7,0.4375
0,boston-seaport,6,0.375
0,boston-seaport,4,0.25
0,boston-seaport,8,0.5
0,boston-seaport,5,0.3125
0,boston-seaport,5,0.3125
0,boston-seaport,6,0.375
0,boston-seaport,4,0.25
0,boston-seaport,10,0.625
0,boston-seaport,6,0.375
0,boston-seaport,4,0.25
0,boston-seaport,8,0.5
0,boston-seaport,4,0.25
0,boston-seaport,9,0.5625
0,boston-seaport,8,0.5
0,boston-seaport,8,0.5
0,boston-seaport,6,0.375
0,boston-seaport,8,0.5
0,boston-seaport,6,0.375
0,boston-seaport,6,0.375
0,boston-seaport,8,0.5
0,boston-seaport,4,0.25
0,boston-seaport,6,0.375
0,boston-seaport,7,0.4375
0,boston-seaport,5,0.3125
0,boston-seaport,8,0.5
0,boston-seaport,9,0.5625
0,boston-seaport,8,0.5
0,boston-seaport,10,0.625
0,boston-seaport,5,0.3125
0,boston-seaport,8,0.5
0,boston-seaport,3,0.1875
0,boston-seaport,7,0.4375
0,boston-seaport,9,0.5625
0,boston-seaport,7,0.4375
0,boston-seaport,9,0.5625
0,boston-seaport,7,0.4375
0,boston-seaport,5,0.3125
0,boston-seaport,9,0.5625
0,boston-seaport,8,0.5
0,boston-seaport,9,0.5625
0,boston-seaport,4,0.25
0,boston-seaport,5,0.3125
0,boston-seaport,8,0.5
1,singapore-onenorth,8,0.5
1,singapore-onenorth,12,0.75
1,singapore-onenorth,4,0.25
1,singapore-onenorth,9,0.5625
1,singapore-onenorth,5,0.3125
1,singapore-onenorth,6,0.375
1,singapore-onenorth,5,0.3125
1,singapore-onenorth,5,0.3125
1,singapore-onenorth,8,0.5
1,singapore-onenorth,11,0.6875
1,singapore-onenorth,4,0.25
1,singapore-onenorth,9,0.5625
1,singapore-onenorth,5,0.3125
1,singapore-onenorth,5,0.3125
1,singapore-onenorth,5,0.3125
1,singapore-onenorth,5,0.3125
1,singapore-onenorth,5,0.3125
1,singapore-onenorth,9,0.5625
1,singapore-onenorth,5,0.3125
1,singapore-onenorth,6,0.375
1,singapore-onenorth,6,0.375
1,singapore-onenorth,4,0.25
1,singapore-onenorth,11,0.6875
1,singapore-onenorth,10,0.625
1,singapore-onenorth,5,0.3125
1,singapore-onenorth,9,0.5625
1,singapore-onenorth,9,0.5625
1,singapore-onenorth,10,0.625
