x,y,domain
0.08256818,2.8172712,0
11.413949,2.8719904,0
-7.2785916,4.721638,0
-7.0359316,4.6497955,0
-3.223268,3.0585873,0
-3.3444228,2.6114614,0
-3.0990794,2.4848142,0
0.21341822,4.60239,0
5.6630654,3.0075085,0
8.9589615,0.69242096,0
7.3870115,-0.338637,0
2.1124527,2.6679516,0
-7.1408157,4.7064333,0
11.875792,3.1355045,0
11.568281,3.3811848,0
6.151054,-1.8433751,0
8.808222,0.562549,0
-3.0841298,2.5382032,0
11.76461,3.21332,0
11.726399,2.8916802,0
-3.0234032,2.923689,0
6.1718416,-1.6139551,0
-1.6869311,2.9191818,0
-0.65721726,2.442674,0
11.318032,3.0050435,0
-0.41301703,3.2488167,0
-1.4720653,4.923044,0
-3.370912,2.9649007,0
4.0889335,-4.1860404,0
6.1594224,-1.8492539,0
-2.1704226,2.5392656,0
-7.048994,4.6662436,0
11.977142,3.0350237,0
-3.500935,2.8340573,0
11.343022,3.1487448,0
-3.3334239,2.6669695,0
5.2467656,-2.4471247,0
5.718671,3.1149316,0
-0.30120042,2.2826185,0
2.0619996,5.239045,0
-7.1617055,4.6414056,0
-0.24458659,2.9498832,0
7.372292,0.12726776,0
10.582486,1.9457115,0
6.0803194,2.5843477,0
6.8746376,-0.70672756,0
-1.6865212,2.8817058,0
-0.32343763,2.8958697,0
11.202259,2.6347961,0
8.204773,0.43355843,0
11.639502,3.0141058,0
-2.7478898,2.7114744,0
10.608971,1.9547802,0
6.7375836,-0.047655422,0
-1.4702399,4.0863757,0
8.240522,0.4083607,0
5.5971775,2.2496655,0
7.32365,0.09518515,0
8.332521,0.40963477,0
11.463648,3.126834,0
5.962727,2.5629392,0
11.706275,2.9730694,0
5.9690475,-1.5589207,0
1.7873888,5.3794904,0
-0.57232,5.0065937,0
-0.6564522,2.2541304,0
0.36934215,2.845817,0
-2.5993514,2.543921,0
5.756971,3.0995018,0
6.0600014,3.0584228,0
-2.0266755,2.5470757,0
11.614255,2.7453587,0
11.716124,2.809742,0
-0.93639076,2.8571353,0
-2.3938687,2.7715604,0
-7.1644416,4.699539,0
11.147894,2.573243,0
5.1084614,2.4142992,0
-2.2992246,2.648875,0
-0.35506636,2.7022173,0
-2.343988,2.4233763,0
-1.8736202,2.723214,0
11.381778,3.2471433,0
6.2051964,-1.752353,0
-2.7813272,2.977863,0
2.183102,2.2092564,0
-0.9133223,4.17027,0
1.7093472,5.1604953,0
2.2561936,2.3198223,0
-0.77944845,5.145433,0
-0.37531775,2.8790154,0
-2.304474,2.720465,0
-1.4103856,2.7566872,0
5.3221927,2.386719,0
5.2312303,2.3286858,0
2.1567154,2.4416847,0
5.594655,-1.8495303,0
0.7422587,5.7396064,0
-0.10994635,2.4156203,0
-3.4237673,2.9047012,0
0.589568,5.787816,1
4.7743735,-2.9688582,1
-1.9065324,4.419594,1
6.172419,-1.423744,1
-0.8137031,2.1264784,1
-1.9227705,2.638011,1
7.667627,0.46958163,1
-1.8326033,4.889585,1
-1.8377494,4.8450603,1
2.2882717,2.3085444,1
0.049819272,2.5244157,1
1.7555615,5.256601,1
11.523783,2.8679547,1
10.701063,2.0422866,1
7.80364,0.09907827,1
7.1093373,-0.19355737,1
7.96954,0.57068795,1
2.5172014,2.5958283,1
0.4343281,4.7967014,1
4.241943,-3.888734,1
6.518117,-1.0008963,1
2.3516924,4.731529,1
4.168343,-3.9606256,1
-2.0243433,4.2720637,1
-0.03692421,2.6411486,1
2.221011,2.709052,1
5.130143,-2.4441404,1
-7.7702985,4.845016,1
1.6914382,5.293677,1
4.02375,-4.1647477,1
-3.4266307,2.7411852,1
7.6205754,-0.07511668,1
-3.187386,2.3624833,1
5.02318,2.6957357,1
-1.8690662,4.2464757,1
-7.5843883,4.812312,1
-1.6236064,3.8398328,1
1.0648872,5.3246174,1
5.1681814,2.181326,1
11.5555525,2.8543506,1
5.6477485,-2.0440447,1
4.045362,-4.647358,1
2.0180242,5.285157,1
-7.6878114,4.671954,1
6.9076824,-0.07666454,1
0.31396952,4.7039113,1
-7.4993606,4.707038,1
6.2426376,2.8789034,1
-0.6186045,2.5255554,1
9.016451,0.7334928,1
5.40243,-2.4548805,1
0.037244704,3.092298,1
6.5052624,-1.0093209,1
1.98327,5.2867723,1
1.5184777,5.330091,1
1.6943643,5.2899632,1
2.3918507,2.571824,1
6.163177,3.0132792,1
11.880591,3.362195,1
0.08530931,4.7982326,1
2.3532338,2.9703844,1
4.6267095,-3.3989518,1
7.2373,-0.2854849,1
-0.54692835,2.4395015,1
7.8679376,0.20132472,1
-1.9115334,4.685254,1
0.29848993,3.5129294,1
1.8173856,2.6312764,1
11.809334,2.8828335,1
-2.083737,1.9038237,1
5.717467,3.044479,1
-7.445719,4.6293645,1
-2.0167718,2.7200665,1
8.698618,0.63170636,1
5.328965,2.419809,1
-0.09505281,4.653115,1
4.901259,2.5208483,1
0.42080975,5.779562,1
0.94196576,5.615461,1
2.2754507,2.6509905,1
