domain,metric,K,value,type
0,mmd,1,0.12138324975967407,k_shot
0,mmd,4,0.025277376174926758,k_shot
0,mmd,16,0.028063595294952393,k_shot
0,kl,1,0.8590243778527539,k_shot
0,kl,4,0.18549436828566931,k_shot
0,kl,16,0.21403470471641176,k_shot
0,v_wass,1,0.4094212640924617,k_shot
0,v_wass,4,0.3007067179675695,k_shot
0,v_wass,16,0.44987405132234315,k_shot
0,corr_frob,1,1.495486388869495,k_shot
0,corr_frob,4,1.1206450628027729,k_shot
0,corr_frob,16,0.7323560878240977,k_shot
1,mmd,1,0.17422735691070557,k_shot
1,mmd,4,0.046605050563812256,k_shot
1,mmd,16,0.011633038520812988,k_shot
1,kl,1,1.3175003299271544,k_shot
1,kl,4,0.27880947937405987,k_shot
1,kl,16,0.1925909812356361,k_shot
1,v_wass,1,0.6619422666702005,k_shot
1,v_wass,4,0.607128371740902,k_shot
1,v_wass,16,0.15615061966816582,k_shot
1,corr_frob,1,1.23381942379586,k_shot
1,corr_frob,4,1.3008310240398873,k_shot
1,corr_frob,16,0.8800165056593946,k_shot
2,mmd,1,0.3619529604911804,k_shot
2,mmd,4,0.020551860332489014,k_shot
2,mmd,16,0.02205556631088257,k_shot
2,kl,1,4.004207610715146,k_shot
2,kl,4,0.473157348668805,k_shot
2,kl,16,0.19689175036460957,k_shot
2,v_wass,1,1.3098287045313202,k_shot
2,v_wass,4,0.23906209015819968,k_shot
2,v_wass,16,0.35159171106136783,k_shot
2,corr_frob,1,1.2687215479785732,k_shot
2,corr_frob,4,1.0897670686104979,k_shot
2,corr_frob,16,0.8458745624078966,k_shot
3,mmd,1,0.3207662105560303,k_shot
3,mmd,4,0.1305023431777954,k_shot
3,mmd,16,0.10129785537719727,k_shot
3,kl,1,2.4850360988568156,k_shot
3,kl,4,2.6789057251340096,k_shot
3,kl,16,1.1695945201377698,k_shot
3,v_wass,1,1.4454271033535533,k_shot
3,v_wass,4,0.6084333633779626,k_shot
3,v_wass,16,0.6669578412674191,k_shot
3,corr_frob,1,1.5743401124146124,k_shot
3,corr_frob,4,1.4609233601511646,k_shot
3,corr_frob,16,1.0863858675669509,k_shot
0,mmd,0,0.07754433155059814,no_prompt
0,kl,0,1.0588081526635056,no_prompt
0,v_wass,0,0.40157157189047177,no_prompt
0,corr_frob,0,1.2228775603567519,no_prompt
1,mmd,0,0.08639627695083618,no_prompt
1,kl,0,1.4429627585691256,no_prompt
1,v_wass,0,0.48527882127138156,no_prompt
1,corr_frob,0,1.3082095927274138,no_prompt
2,mmd,0,0.10637551546096802,no_prompt
2,kl,0,2.481135817065869,no_prompt
2,v_wass,0,0.5978365428435931,no_prompt
2,corr_frob,0,1.4641311551340468,no_prompt
3,mmd,0,0.15312504768371582,no_prompt
3,kl,0,2.7437936080778678,no_prompt
3,v_wass,0,0.8612350851713124,no_prompt
3,corr_frob,0,1.2897072681267638,no_prompt
