split,metric,K,value,type
seen,mmd,1,0.21918785572052002,k_shot
seen,mmd,4,0.030811429023742676,k_shot
seen,mmd,16,0.02058406670888265,k_shot
seen,kl,1,2.060244106165018,k_shot
seen,kl,4,0.3124870654428447,k_shot
seen,kl,16,0.20117247877221914,k_shot
seen,v_wass,1,0.793730745097994,k_shot
seen,v_wass,4,0.3822990599555571,k_shot
seen,v_wass,16,0.31920546068395894,k_shot
seen,corr_frob,1,1.3326757868813093,k_shot
seen,corr_frob,4,1.1704143851510527,k_shot
seen,corr_frob,16,0.8194157186304629,k_shot
unseen,mmd,1,0.3207662105560303,k_shot
unseen,mmd,4,0.1305023431777954,k_shot
unseen,mmd,16,0.08708751201629639,k_shot
unseen,kl,1,2.4850360988568156,k_shot
unseen,kl,4,2.6789057251340096,k_shot
unseen,kl,16,0.9066627653509026,k_shot
unseen,v_wass,1,1.4454271033535533,k_shot
unseen,v_wass,4,0.6084333633779626,k_shot
unseen,v_wass,16,0.687488626879903,k_shot
unseen,corr_frob,1,1.5743401124146124,k_shot
unseen,corr_frob,4,1.4609233601511646,k_shot
unseen,corr_frob,16,1.1520933256359465,k_shot
seen,mmd,0,0.09010537465413411,no_prompt
seen,kl,0,1.6609689094328335,no_prompt
seen,v_wass,0,0.4948956453351488,no_prompt
seen,corr_frob,0,1.3317394360727375,no_prompt
