x,y,method,source
7.97001,6.3607407,zscore,real
9.415282,5.1916666,zscore,real
4.2268662,6.3445787,zscore,real
12.417517,3.4694412,zscore,real
12.570637,4.0556893,zscore,real
12.013271,3.75665,zscore,real
6.4702983,5.296845,zscore,real
7.4134345,4.8639894,zscore,real
8.002191,6.698825,zscore,real
9.724828,5.2971454,zscore,real
7.262909,5.3241014,zscore,real
7.1284046,5.879169,zscore,real
12.515179,3.43481,zscore,real
12.494092,3.3946683,zscore,real
12.338194,3.6268573,zscore,real
7.916363,4.636925,zscore,real
12.403285,3.9326136,zscore,real
7.566603,6.529924,zscore,real
8.505383,6.4907317,zscore,real
9.520403,5.898587,zscore,real
7.39382,6.597276,zscore,real
7.9948444,5.4241633,zscore,real
4.6327963,5.888063,zscore,real
12.357477,3.6097126,zscore,real
12.638446,3.557739,zscore,real
12.3270235,3.7314172,zscore,real
8.51735,5.911504,zscore,real
4.7114453,6.056402,zscore,real
8.288894,4.8384604,zscore,real
6.944982,5.2501082,zscore,real
9.395242,5.431054,zscore,real
8.339092,6.220083,zscore,real
9.823105,5.96949,zscore,real
6.986362,5.7660193,zscore,real
4.5376406,6.487842,zscore,real
7.92962,4.794038,zscore,real
12.346133,3.3087416,zscore,real
7.3582444,6.194989,zscore,real
4.322913,6.2608514,zscore,real
7.798647,5.922265,zscore,real
8.011652,6.873544,zscore,real
6.7520437,5.6602807,zscore,real
7.5674324,7.019066,zscore,real
4.373257,6.1710477,zscore,gen
7.736487,6.1061783,zscore,gen
5.0882435,6.050368,zscore,gen
5.6057343,5.9495225,zscore,gen
7.847963,4.534093,zscore,gen
12.254651,3.6980588,zscore,gen
6.1723175,6.13351,zscore,gen
5.1185966,6.264682,zscore,gen
6.439569,6.2312913,zscore,gen
8.678312,5.709163,zscore,gen
7.0887623,5.8208923,zscore,gen
7.78926,4.7245564,zscore,gen
7.0764055,5.693401,zscore,gen
7.6908245,7.0456085,zscore,gen
5.4796453,6.201581,zscore,gen
7.68861,7.020967,zscore,gen
6.6920414,5.4494696,zscore,gen
7.8577614,6.281833,zscore,gen
4.888309,6.2055206,zscore,gen
5.5601835,5.828766,zscore,gen
8.228642,4.9209995,zscore,gen
12.197181,3.5648518,zscore,gen
4.853953,6.1709266,zscore,gen
7.705234,6.886436,zscore,gen
6.918687,5.45993,zscore,gen
8.343737,5.7389894,zscore,gen
7.3139367,4.9776235,zscore,gen
7.2262692,5.656009,zscore,gen
6.48258,5.4435673,zscore,gen
8.132039,6.4389005,zscore,gen
4.8141375,6.161863,zscore,gen
8.056684,6.737423,zscore,gen
4.6974263,6.265705,zscore,gen
7.2809963,6.442782,zscore,gen
5.8847847,6.0425496,zscore,gen
4.5787687,5.940725,zscore,gen
8.553807,5.1317115,zscore,gen
12.48111,3.712848,zscore,gen
5.336254,5.9536924,zscore,gen
7.8643756,6.862816,zscore,gen
6.2930346,6.106377,zscore,gen
8.920656,6.3270693,zscore,gen
7.7785115,4.6707964,zscore,gen
0.21689002,7.757883,centered_pit,real
-1.8086175,7.156593,centered_pit,real
-2.3494825,8.958063,centered_pit,real
9.042807,5.820189,centered_pit,real
8.81193,5.733197,centered_pit,real
6.115136,5.8020234,centered_pit,real
-1.2122447,7.5487247,centered_pit,real
-0.87710065,7.3123064,centered_pit,real
-0.34959644,8.186147,centered_pit,real
5.0411954,5.756544,centered_pit,real
-1.6196477,7.1975064,centered_pit,real
-0.45358327,7.7576995,centered_pit,real
9.273296,6.1708994,centered_pit,real
9.482726,6.1983457,centered_pit,real
9.170575,5.8869624,centered_pit,real
-1.1886824,6.8377867,centered_pit,real
8.755143,5.543295,centered_pit,real
0.7588257,7.248537,centered_pit,real
-0.0073060184,7.664144,centered_pit,real
0.1351445,7.1208916,centered_pit,real
-0.30781668,8.116067,centered_pit,real
-1.9417887,7.25683,centered_pit,real
-2.265645,8.837886,centered_pit,real
9.5730095,6.068507,centered_pit,real
9.246036,6.365828,centered_pit,real
9.139945,5.905059,centered_pit,real
1.3182395,6.422555,centered_pit,real
-2.2279654,8.818858,centered_pit,real
-0.40266803,6.594532,centered_pit,real
-1.7714419,7.5010924,centered_pit,real
2.3112736,6.242589,centered_pit,real
0.7223934,6.7612047,centered_pit,real
5.0168843,5.6693344,centered_pit,real
-1.0378729,8.108353,centered_pit,real
-2.411074,8.912609,centered_pit,real
-1.1606029,6.886375,centered_pit,real
9.098734,6.04425,centered_pit,real
-0.360912,7.6860523,centered_pit,real
-2.333394,8.929223,centered_pit,real
0.65407133,6.976202,centered_pit,real
1.7179791,6.7217717,centered_pit,real
-1.622961,7.5392103,centered_pit,real
-0.16965458,8.393201,centered_pit,real
-1.6529819,7.351265,centered_pit,gen
1.4772433,6.4421678,centered_pit,gen
-2.1274104,8.522394,centered_pit,gen
-0.49642134,7.829343,centered_pit,gen
-0.9770596,6.580913,centered_pit,gen
9.1817045,6.005194,centered_pit,gen
-0.9800687,7.489172,centered_pit,gen
-0.20410244,7.4761806,centered_pit,gen
-0.50239706,7.2732553,centered_pit,gen
1.149759,6.6686654,centered_pit,gen
-1.2671598,6.7049284,centered_pit,gen
-0.6566952,6.5606723,centered_pit,gen
0.21272516,7.165547,centered_pit,gen
4.347367,6.003202,centered_pit,gen
-1.4204241,7.533908,centered_pit,gen
2.1203783,6.2696605,centered_pit,gen
-1.6531833,7.749478,centered_pit,gen
0.859225,6.8696566,centered_pit,gen
-1.5600114,7.8923826,centered_pit,gen
-0.88684773,8.264673,centered_pit,gen
-0.5373742,6.439074,centered_pit,gen
9.2209,5.891706,centered_pit,gen
-1.8021317,8.43948,centered_pit,gen
-0.3232835,6.6868963,centered_pit,gen
-1.0829421,7.3510885,centered_pit,gen
0.100641,7.4112663,centered_pit,gen
-0.32640582,6.792056,centered_pit,gen
-0.24370512,7.320824,centered_pit,gen
-0.7677583,8.332551,centered_pit,gen
1.7655168,6.3344564,centered_pit,gen
-2.210846,8.621701,centered_pit,gen
4.0150967,6.039386,centered_pit,gen
-2.0189648,8.584808,centered_pit,gen
-0.41006446,8.403978,centered_pit,gen
-0.7168677,7.7846293,centered_pit,gen
